name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Alto,alto|wd1|fuzehealthcareersite,workday,50,low,1,workday; 20 US jobs
Amainc,amainc|wd12|ama_careers,workday,50,low,1,workday; 20 US jobs
Amarillo,amarillo|wd5|amarillo_external_career_site,workday,50,low,1,workday; 20 US jobs
Alwayscompassionate,alwayscompassionate|wd1|achomecare,workday,50,low,1,workday; 20 US jobs
Ameren,ameren|wd1|external,workday,50,low,1,workday; 20 US jobs
Ambgroup,ambgroup|wd1|appl_only_site,workday,50,low,1,workday; 20 US jobs
Amcn,amcn|wd5|amcnetworks,workday,50,low,1,workday; 20 US jobs
Amerilife,amerilife|wd5|external,workday,50,low,1,workday; 20 US jobs
Americanfidelity,americanfidelity|wd5|external,workday,50,low,1,workday; 20 US jobs
Amat,amat|wd1|external,workday,50,low,1,workday; 20 US jobs
Americancentury,americancentury|wd5|americancenturyinvestments,workday,50,low,1,workday; 20 US jobs
Amesconstruction,amesconstruction|wd12|ames,workday,50,low,1,workday; 20 US jobs
Americanregent,americanregent|wd1|american_regent_careers,workday,50,low,1,workday; 20 US jobs
Amerivet,amerivet|wd5|amerivet,workday,50,low,1,workday; 20 US jobs
Amfam,amfam|wd1|agent-staff,workday,50,low,1,workday; 20 US jobs
Americanredcross,americanredcross|wd1|american_red_cross_careers,workday,50,low,1,workday; 20 US jobs
Amfam,amfam|wd1|careers,workday,50,low,1,workday; 20 US jobs
Amherst,amherst|wd5|amherst_jobs,workday,50,low,1,workday; 20 US jobs
Anaheimducks,anaheimducks|wd5|linkedin,workday,50,low,1,workday; 20 US jobs
Anaheimducks,anaheimducks|wd5|allco,workday,50,low,1,workday; 20 US jobs
Amplify,amplify|wd1|amplify_careers,workday,50,low,1,workday; 20 US jobs
Amn,amn|wd1|amn_careers,workday,50,low,1,workday; 20 US jobs
Amplity,amplity|wd1|amplityhealth,workday,50,low,1,workday; 20 US jobs
Anchorglass,anchorglass|wd1|careers,workday,50,low,1,workday; 20 US jobs
Andersen,andersen|wd12|andersen_external_career_site,workday,50,low,1,workday; 20 US jobs
Andersonauto,andersonauto|wd5|external,workday,50,low,1,workday; 20 US jobs
Andersonuniversity,andersonuniversity|wd1|andersonuniversity,workday,50,low,1,workday; 20 US jobs
Anglicare,anglicare|wd105|anglicare_careers,workday,50,low,1,workday; 20 US jobs
Aoncology,aoncology|wd12|aoncology_careers,workday,50,low,1,workday; 20 US jobs
Apacheip,apacheip|wd1|apache_careers,workday,50,low,1,workday; 20 US jobs
Aoins,aoins|wd5|autoowners,workday,50,low,1,workday; 20 US jobs
Anticimexinc,anticimexinc|wd1|jp_mchale_pest_management_external_careers,workday,50,low,1,workday; 20 US jobs
Anticimexinc,anticimexinc|wd1|anticimex_carolinas_external_careers,workday,50,low,1,workday; 20 US jobs
Andrewsdistributing,andrewsdistributing|wd5|andrewsdistributing,workday,50,low,1,workday; 20 US jobs
Appliedis,appliedis|wd5|ais_careers,workday,50,low,1,workday; 20 US jobs
Apog,apog|wd1|apogee,workday,50,low,1,workday; 20 US jobs
