name,career_url,ats_type,h1b_history_score,priority,is_active,notes
HN Who Is Hiring,hn,hn_hiring,40,high,1,sentinel - HN who is hiring thread
Himalayas Remote,himalayas,himalayas,40,medium,1,sentinel - remote board ~86k jobs
Retool,retool,gem,40,medium,1,gem verified board
Mediavine,mediavine,workable,40,medium,1,verified workable board
Azumo,azumo,workable,40,medium,1,verified workable board
Modash,modash,workable,40,medium,1,verified workable board
Renewhome,renewhome,workable,40,medium,1,verified workable board
Securityriskadvisors,securityriskadvisors,workable,40,medium,1,verified workable board
