name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Encora10,encora10,greenhouse,40,low,1,bulk-verified; 273 jobs
Stonepatrocina,stonepatrocina,greenhouse,40,low,1,bulk-verified; 272 jobs
Sunsrce,sunsrce,lever,40,low,1,bulk-verified; 270 jobs
Coreweave,coreweave,greenhouse,40,low,1,bulk-verified; 265 jobs
Hrtechx,hrtechx,greenhouse,40,low,1,bulk-verified; 263 jobs
Betterhelp,betterhelp,greenhouse,40,low,1,bulk-verified; 262 jobs
Okx,okx,greenhouse,40,low,1,bulk-verified; 262 jobs
Convenientmd,convenientmd,greenhouse,40,low,1,bulk-verified; 260 jobs
Guidepostmontessori,guidepostmontessori,greenhouse,40,low,1,bulk-verified; 260 jobs
Retailinsights,retailinsights,greenhouse,40,low,1,bulk-verified; 256 jobs
Setsales,setsales,greenhouse,40,low,1,bulk-verified; 253 jobs
Buckmason,buckmason,lever,40,low,1,bulk-verified; 253 jobs
Roku,roku,greenhouse,40,low,1,bulk-verified; 252 jobs
Dept,dept,greenhouse,40,low,1,bulk-verified; 248 jobs
Flyzipline,flyzipline,greenhouse,40,low,1,bulk-verified; 247 jobs
Lsaweb,lsaweb,lever,40,low,1,bulk-verified; 247 jobs
Point72,point72,greenhouse,40,low,1,bulk-verified; 245 jobs
Anaplan,anaplan,greenhouse,40,low,1,bulk-verified; 236 jobs
Lightspeedhq,lightspeedhq,ashby,40,low,1,bulk-verified; 236 jobs
Oscar,oscar,greenhouse,40,low,1,bulk-verified; 232 jobs
Solidcore,solidcore,lever,40,low,1,bulk-verified; 230 jobs
Bursonglobalcareers,bursonglobalcareers,greenhouse,40,low,1,bulk-verified; 228 jobs
Quberesearchandtechnologies,quberesearchandtechnologies,greenhouse,40,low,1,bulk-verified; 228 jobs
Deliveroo,deliveroo,ashby,40,low,1,bulk-verified; 228 jobs
Examplecorpsandbox,examplecorpsandbox,greenhouse,40,low,1,bulk-verified; 225 jobs
Ciandt,ciandt,lever,40,low,1,bulk-verified; 225 jobs
Daniels Sharpsmart,daniels-sharpsmart,lever,40,low,1,bulk-verified; 225 jobs
Graphcore,graphcore,greenhouse,40,low,1,bulk-verified; 221 jobs
Apexcompanies,apexcompanies,greenhouse,40,low,1,bulk-verified; 220 jobs
Alphasense,alphasense,greenhouse,40,low,1,bulk-verified; 218 jobs
Astspacemobile,astspacemobile,greenhouse,40,low,1,bulk-verified; 218 jobs
Block,block,greenhouse,40,low,1,bulk-verified; 216 jobs
Loenbro,loenbro,greenhouse,40,low,1,bulk-verified; 215 jobs
Revolutionmedicines,revolutionmedicines,greenhouse,40,low,1,bulk-verified; 215 jobs
Oldcastlebuildingenvelope,oldcastlebuildingenvelope,greenhouse,40,low,1,bulk-verified; 213 jobs
Zoox,zoox,lever,40,low,1,bulk-verified; 213 jobs
Janestreet,janestreet,greenhouse,40,low,1,bulk-verified; 210 jobs
Ajax,ajax,lever,40,low,1,bulk-verified; 210 jobs
Adyen,adyen,greenhouse,40,low,1,bulk-verified; 208 jobs
Scoutmotors,scoutmotors,greenhouse,40,low,1,bulk-verified; 208 jobs
Arcoeducacao,arcoeducacao,greenhouse,40,low,1,bulk-verified; 207 jobs
Greenthumbindustries,greenthumbindustries,greenhouse,40,low,1,bulk-verified; 206 jobs
Paytm,paytm,lever,40,low,1,bulk-verified; 204 jobs
Braze,braze,greenhouse,40,low,1,bulk-verified; 203 jobs
Ebury,ebury,greenhouse,40,low,1,bulk-verified; 203 jobs
Sonyinteractiveentertainmentglobal,sonyinteractiveentertainmentglobal,greenhouse,40,low,1,bulk-verified; 203 jobs
Maintainx,maintainx,greenhouse,40,low,1,bulk-verified; 202 jobs
Atwellgroup,atwellgroup,greenhouse,40,low,1,bulk-verified; 200 jobs
Ennoblecare,ennoblecare,greenhouse,40,low,1,bulk-verified; 200 jobs
Sezzle,sezzle,greenhouse,40,low,1,bulk-verified; 199 jobs
Menta,menta,lever,40,low,1,bulk-verified; 199 jobs
Doctolib,doctolib,greenhouse,40,low,1,bulk-verified; 198 jobs
Murgadoautomotive,murgadoautomotive,lever,40,low,1,bulk-verified; 198 jobs
Neoris,neoris,greenhouse,40,low,1,bulk-verified; 196 jobs
Celonis,celonis,greenhouse,40,low,1,bulk-verified; 195 jobs
Icapitalnetwork,icapitalnetwork,greenhouse,40,low,1,bulk-verified; 191 jobs
Everai,everai,ashby,40,low,1,bulk-verified; 191 jobs
Scopely,scopely,greenhouse,40,low,1,bulk-verified; 186 jobs
Skelar,skelar,ashby,40,low,1,bulk-verified; 186 jobs
Talkiatry,talkiatry,ashby,40,low,1,bulk-verified; 186 jobs
Lansingschools,lansingschools,lever,40,low,1,bulk-verified; 185 jobs
Eliotcommunityhumanservices,eliotcommunityhumanservices,greenhouse,40,low,1,bulk-verified; 184 jobs
Marksman,marksman,greenhouse,40,low,1,bulk-verified; 184 jobs
Wyetechllc,wyetechllc,lever,40,low,1,bulk-verified; 184 jobs
Truelogic,truelogic,ashby,40,low,1,bulk-verified; 184 jobs
Natera,natera,greenhouse,40,low,1,bulk-verified; 182 jobs
Axiomtalentplatform,axiomtalentplatform,greenhouse,40,low,1,bulk-verified; 181 jobs
Optiverus,optiverus,greenhouse,40,low,1,bulk-verified; 179 jobs
Joya,joya,greenhouse,40,low,1,bulk-verified; 177 jobs
Lucidmotors,lucidmotors,greenhouse,40,low,1,bulk-verified; 177 jobs
Datavant2,datavant2,greenhouse,40,low,1,bulk-verified; 176 jobs
Clickhouse,clickhouse,greenhouse,40,low,1,bulk-verified; 175 jobs
Gleanwork,gleanwork,greenhouse,40,low,1,bulk-verified; 174 jobs
Flynncompanies,flynncompanies,lever,40,low,1,bulk-verified; 174 jobs
Sharkninjaoperatingllc,sharkninjaoperatingllc,greenhouse,40,low,1,bulk-verified; 173 jobs
Appian,appian,greenhouse,40,low,1,bulk-verified; 172 jobs
Archer56,archer56,greenhouse,40,low,1,bulk-verified; 172 jobs
Klaviyo,klaviyo,greenhouse,40,low,1,bulk-verified; 171 jobs
Fanaticscollectibles,fanaticscollectibles,greenhouse,40,low,1,bulk-verified; 170 jobs
Octoenergy,octoenergy,lever,40,low,1,bulk-verified; 170 jobs
Asteralabs,asteralabs,greenhouse,40,low,1,bulk-verified; 169 jobs
Whoop,whoop,lever,40,low,1,bulk-verified; 169 jobs
Bozzuto,bozzuto,greenhouse,40,low,1,bulk-verified; 168 jobs
Ibkr,ibkr,greenhouse,40,low,1,bulk-verified; 168 jobs
Industrialelectricmanufacturing,industrialelectricmanufacturing,greenhouse,40,low,1,bulk-verified; 167 jobs
Five9,five9,greenhouse,40,low,1,bulk-verified; 166 jobs
Sonymusicentertainment,sonymusicentertainment,greenhouse,40,low,1,bulk-verified; 165 jobs
Spektrum,spektrum,greenhouse,40,low,1,bulk-verified; 165 jobs
Formlabs,formlabs,greenhouse,40,low,1,bulk-verified; 164 jobs
Ninjavan,ninjavan,lever,40,low,1,bulk-verified; 164 jobs
Riotgames,riotgames,greenhouse,40,low,1,bulk-verified; 163 jobs
Agibank,agibank,greenhouse,40,low,1,bulk-verified; 161 jobs
Hubspotjobs,hubspotjobs,greenhouse,40,low,1,bulk-verified; 161 jobs
Despegar,despegar,lever,40,low,1,bulk-verified; 161 jobs
Sailorhealth,sailorhealth,ashby,40,low,1,bulk-verified; 161 jobs
Ogilvy,ogilvy,greenhouse,40,low,1,bulk-verified; 160 jobs
Pearceservices,pearceservices,greenhouse,40,low,1,bulk-verified; 160 jobs
Theodo,theodo,lever,40,low,1,bulk-verified; 160 jobs
Hadrian Automation,hadrian-automation,ashby,40,low,1,bulk-verified; 158 jobs
Lakefieldveterinarygroup,lakefieldveterinarygroup,greenhouse,40,low,1,bulk-verified; 157 jobs
Sentinellabs,sentinellabs,greenhouse,40,low,1,bulk-verified; 157 jobs
Coins,coins,lever,40,low,1,bulk-verified; 157 jobs
Saviynt,saviynt,lever,40,low,1,bulk-verified; 157 jobs
Xsolla,xsolla,lever,40,low,1,bulk-verified; 157 jobs
Chaosindustries,chaosindustries,greenhouse,40,low,1,bulk-verified; 156 jobs
Helpinghandsfamily,helpinghandsfamily,greenhouse,40,low,1,bulk-verified; 156 jobs
Inter,inter,greenhouse,40,low,1,bulk-verified; 156 jobs
42Dot,42dot,ashby,40,low,1,bulk-verified; 155 jobs
Perk,perk,ashby,40,low,1,bulk-verified; 155 jobs
Aegworldwide,aegworldwide,greenhouse,40,low,1,bulk-verified; 154 jobs
Cannondesign,cannondesign,greenhouse,40,low,1,bulk-verified; 154 jobs
Altentechnologyusa,altentechnologyusa,greenhouse,40,low,1,bulk-verified; 153 jobs
Precisionmedicinegroup,precisionmedicinegroup,greenhouse,40,low,1,bulk-verified; 153 jobs
Ripple,ripple,greenhouse,40,low,1,bulk-verified; 153 jobs
Getlabs,getlabs,lever,40,low,1,bulk-verified; 153 jobs
Aurorainnovation,aurorainnovation,greenhouse,40,low,1,bulk-verified; 152 jobs
Axsometherapeutics,axsometherapeutics,greenhouse,40,low,1,bulk-verified; 152 jobs
Gorjana,gorjana,greenhouse,40,low,1,bulk-verified; 152 jobs
Humanagency,humanagency,greenhouse,40,low,1,bulk-verified; 152 jobs
Omnicomhealth,omnicomhealth,greenhouse,40,low,1,bulk-verified; 152 jobs
Cogentanalytics,cogentanalytics,lever,40,low,1,bulk-verified; 152 jobs
Fresha,fresha,lever,40,low,1,bulk-verified; 152 jobs
Woven By Toyota,woven-by-toyota,lever,40,low,1,bulk-verified; 152 jobs
Elevenlabs,elevenlabs,ashby,40,low,1,bulk-verified; 152 jobs
Beautybarrage,beautybarrage,lever,40,low,1,bulk-verified; 151 jobs
Preply,preply,ashby,40,low,1,bulk-verified; 151 jobs
Familyofkidz,familyofkidz,greenhouse,40,low,1,bulk-verified; 150 jobs
Drweng,drweng,greenhouse,40,low,1,bulk-verified; 149 jobs
Grvty,grvty,greenhouse,40,low,1,bulk-verified; 149 jobs
Intersystems,intersystems,greenhouse,40,low,1,bulk-verified; 148 jobs
Lush,lush,greenhouse,40,low,1,bulk-verified; 148 jobs
Cloudbedsthirdpartyboard,cloudbedsthirdpartyboard,greenhouse,40,low,1,bulk-verified; 147 jobs
Gotion,gotion,greenhouse,40,low,1,bulk-verified; 147 jobs
C6Bank,c6bank,greenhouse,40,low,1,bulk-verified; 146 jobs
Externaljobboards,externaljobboards,greenhouse,40,low,1,bulk-verified; 146 jobs
K2Spacecorporation,k2spacecorporation,greenhouse,40,low,1,bulk-verified; 146 jobs
2K,2k,greenhouse,40,low,1,bulk-verified; 145 jobs
Internaljobsatlush,internaljobsatlush,greenhouse,40,low,1,bulk-verified; 145 jobs
Capgeminideutschlandgmbh,capgeminideutschlandgmbh,greenhouse,40,low,1,bulk-verified; 144 jobs
Dlrgroup,dlrgroup,greenhouse,40,low,1,bulk-verified; 144 jobs
Cookunity,cookunity,greenhouse,40,low,1,bulk-verified; 143 jobs
Intercom,intercom,greenhouse,40,low,1,bulk-verified; 143 jobs
Epicgames,epicgames,greenhouse,40,low,1,bulk-verified; 142 jobs
Helsing,helsing,greenhouse,40,low,1,bulk-verified; 141 jobs
Boxinc,boxinc,greenhouse,40,low,1,bulk-verified; 140 jobs
Agile Defense,agile-defense,lever,40,low,1,bulk-verified; 140 jobs
Base Power,base-power,ashby,40,low,1,bulk-verified; 140 jobs
Crypto,crypto,lever,40,low,1,bulk-verified; 138 jobs
Windowsbyrba,windowsbyrba,lever,40,low,1,bulk-verified; 138 jobs
Kaseya,kaseya,greenhouse,40,low,1,bulk-verified; 137 jobs
Kyivstar,kyivstar,lever,40,low,1,bulk-verified; 137 jobs
Allcareers,allcareers,greenhouse,40,low,1,bulk-verified; 136 jobs
Reformation,reformation,greenhouse,40,low,1,bulk-verified; 133 jobs
Lalamove,lalamove,lever,40,low,1,bulk-verified; 133 jobs
Pennylane,pennylane,ashby,40,low,1,bulk-verified; 133 jobs
Mejuri,mejuri,greenhouse,40,low,1,bulk-verified; 132 jobs
Blackbirdhealth,blackbirdhealth,greenhouse,40,low,1,bulk-verified; 131 jobs
Ifoodcarreiras,ifoodcarreiras,greenhouse,40,low,1,bulk-verified; 131 jobs
Halter,halter,ashby,40,low,1,bulk-verified; 131 jobs
Teya,teya,ashby,40,low,1,bulk-verified; 131 jobs
Addepar1,addepar1,greenhouse,40,low,1,bulk-verified; 130 jobs
Imc,imc,greenhouse,40,low,1,bulk-verified; 129 jobs
Metropolis,metropolis,greenhouse,40,low,1,bulk-verified; 129 jobs
Artefact,artefact,greenhouse,40,low,1,bulk-verified; 128 jobs
Lilasciences,lilasciences,greenhouse,40,low,1,bulk-verified; 128 jobs
Amityfdn,amityfdn,lever,40,low,1,bulk-verified; 128 jobs
Neofinancial,neofinancial,ashby,40,low,1,bulk-verified; 128 jobs
Jensenhughes,jensenhughes,greenhouse,40,low,1,bulk-verified; 127 jobs
Skydio,skydio,ashby,40,low,1,bulk-verified; 127 jobs
Betsson,betsson,greenhouse,40,low,1,bulk-verified; 126 jobs
