name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Lunaroutpost,lunaroutpost,bamboohr,40,low,1,bamboohr; 38 US jobs
Rhythmsnowsports,rhythmsnowsports,bamboohr,40,low,1,bamboohr; 38 US jobs
Rngd,rngd,bamboohr,40,low,1,bamboohr; 38 US jobs
Bentonvillear,bentonvillear,bamboohr,40,low,1,bamboohr; 37 US jobs
Douglasguardian,douglasguardian,bamboohr,40,low,1,bamboohr; 37 US jobs
Euna,euna,bamboohr,40,low,1,bamboohr; 37 US jobs
Morrisonexpress,morrisonexpress,bamboohr,40,low,1,bamboohr; 37 US jobs
Opened,opened,bamboohr,40,low,1,bamboohr; 37 US jobs
Smardt,smardt,bamboohr,40,low,1,bamboohr; 37 US jobs
Sternathometherapy,sternathometherapy,bamboohr,40,low,1,bamboohr; 37 US jobs
Tdgc,tdgc,bamboohr,40,low,1,bamboohr; 37 US jobs
Bdhall,bdhall,bamboohr,40,low,1,bamboohr; 36 US jobs
Inflowhi,inflowhi,bamboohr,40,low,1,bamboohr; 36 US jobs
Mujin,mujin,bamboohr,40,low,1,bamboohr; 36 US jobs
Autismcharter,autismcharter,bamboohr,40,low,1,bamboohr; 35 US jobs
Bbr,bbr,bamboohr,40,low,1,bamboohr; 35 US jobs
Charleslea,charleslea,bamboohr,40,low,1,bamboohr; 35 US jobs
Gemtec,gemtec,bamboohr,40,low,1,bamboohr; 35 US jobs
Hrwcompanies,hrwcompanies,bamboohr,40,low,1,bamboohr; 35 US jobs
Inuvialuit,inuvialuit,bamboohr,40,low,1,bamboohr; 35 US jobs
Sigmaworld,sigmaworld,bamboohr,40,low,1,bamboohr; 35 US jobs
Srtmarine,srtmarine,bamboohr,40,low,1,bamboohr; 35 US jobs
Swoyfc,swoyfc,bamboohr,40,low,1,bamboohr; 35 US jobs
Thepremiercollection,thepremiercollection,bamboohr,40,low,1,bamboohr; 35 US jobs
Westtexasautorecovery,westtexasautorecovery,bamboohr,40,low,1,bamboohr; 35 US jobs
Williscc,williscc,bamboohr,40,low,1,bamboohr; 35 US jobs
Daeoc,daeoc,bamboohr,40,low,1,bamboohr; 34 US jobs
Dywidag,dywidag,bamboohr,40,low,1,bamboohr; 34 US jobs
Mechanicalsolutions,mechanicalsolutions,bamboohr,40,low,1,bamboohr; 34 US jobs
Relianthealthcaregroup,relianthealthcaregroup,bamboohr,40,low,1,bamboohr; 34 US jobs
Bldmpr,bldmpr,bamboohr,40,low,1,bamboohr; 33 US jobs
Frost,frost,bamboohr,40,low,1,bamboohr; 33 US jobs
Royalcertified,royalcertified,bamboohr,40,low,1,bamboohr; 33 US jobs
Theuniversalgroup,theuniversalgroup,bamboohr,40,low,1,bamboohr; 33 US jobs
Toniandguy,toniandguy,bamboohr,40,low,1,bamboohr; 33 US jobs
Vitalchemicalsusa,vitalchemicalsusa,bamboohr,40,low,1,bamboohr; 33 US jobs
Whitcon,whitcon,bamboohr,40,low,1,bamboohr; 33 US jobs
Accuratetemps,accuratetemps,bamboohr,40,low,1,bamboohr; 32 US jobs
Animaltrust,animaltrust,bamboohr,40,low,1,bamboohr; 32 US jobs
Fxpro,fxpro,bamboohr,40,low,1,bamboohr; 32 US jobs
Motorworksauto,motorworksauto,bamboohr,40,low,1,bamboohr; 32 US jobs
Samplesupports,samplesupports,bamboohr,40,low,1,bamboohr; 32 US jobs
Supremeservices,supremeservices,bamboohr,40,low,1,bamboohr; 32 US jobs
Thecoregroup,thecoregroup,bamboohr,40,low,1,bamboohr; 32 US jobs
Upacjenta,upacjenta,bamboohr,40,low,1,bamboohr; 32 US jobs
Vertexca,vertexca,bamboohr,40,low,1,bamboohr; 32 US jobs
Westaff2,westaff2,bamboohr,40,low,1,bamboohr; 32 US jobs
Arctiq,arctiq,bamboohr,40,low,1,bamboohr; 31 US jobs
Catholiccharitiesli,catholiccharitiesli,bamboohr,40,low,1,bamboohr; 31 US jobs
Cceasternwa,cceasternwa,bamboohr,40,low,1,bamboohr; 31 US jobs
Healthvisionteam,healthvisionteam,bamboohr,40,low,1,bamboohr; 31 US jobs
Map,map,bamboohr,40,low,1,bamboohr; 31 US jobs
Peoplescience,peoplescience,bamboohr,40,low,1,bamboohr; 31 US jobs
Ramchealth,ramchealth,bamboohr,40,low,1,bamboohr; 31 US jobs
Sentryusa,sentryusa,bamboohr,40,low,1,bamboohr; 31 US jobs
Aiu,aiu,bamboohr,40,low,1,bamboohr; 30 US jobs
Cityofhamilton,cityofhamilton,bamboohr,40,low,1,bamboohr; 30 US jobs
