name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Jobspresso,jobspresso,jobspresso,40,medium,1,sentinel - Jobspresso RSS job feed (remote board)
We Work Remotely,weworkremotely,weworkremotely,40,high,1,sentinel - We Work Remotely RSS feeds (remote board)
