name,career_url,ats_type,h1b_history_score,priority,is_active,notes
New Grad GitHub,new_grad,new_grad,40,high,1,sentinel - GitHub new-grad/internship lists
The Muse,themuse,themuse,40,medium,1,sentinel - The Muse API
Jobicy Remote,jobicy,jobicy,40,low,1,sentinel - Jobicy remote
RemoteOK,remoteok,remoteok,40,low,1,sentinel - RemoteOK
Reveleer,reveleer,breezy,40,medium,1,breezy verified board
