name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Stilta,stilta,ashby,40,low,1,YC-discovered; 3 jobs
Pax Historia,pax-historia,ashby,40,low,1,YC-discovered; 3 jobs
The Token Company,the-token-company,ashby,40,low,1,YC-discovered; 3 jobs
Maven,maven,ashby,40,low,1,YC-discovered; 3 jobs
Juno,juno,greenhouse,40,low,1,YC-discovered; 3 jobs
BackerKit,backerkit,lever,40,low,1,YC-discovered; 2 jobs
InfluxData,influxdata,ashby,40,low,1,YC-discovered; 2 jobs
Aptible,aptible,ashby,40,low,1,YC-discovered; 2 jobs
Cheddar,cheddar,greenhouse,40,low,1,YC-discovered; 2 jobs
Reach,reach,greenhouse,40,low,1,YC-discovered; 2 jobs
"80,000 Hours",80000hours,ashby,40,low,1,YC-discovered; 2 jobs
Castle,castle,ashby,40,low,1,YC-discovered; 2 jobs
REZI,rezi,ashby,40,low,1,YC-discovered; 2 jobs
UpCodes,upcodes,ashby,40,low,1,YC-discovered; 2 jobs
Prelim,prelim,ashby,40,low,1,YC-discovered; 2 jobs
Plexus,plexus,lever,40,low,1,YC-discovered; 2 jobs
Ben,ben,ashby,40,low,1,YC-discovered; 2 jobs
Caribou,caribou,greenhouse,40,low,1,YC-discovered; 2 jobs
Cocoon,cocoon,greenhouse,40,low,1,YC-discovered; 2 jobs
Glide,glide,greenhouse,40,low,1,YC-discovered; 2 jobs
Prometheus,prometheus,ashby,40,low,1,YC-discovered; 2 jobs
Dex,dex,ashby,40,low,1,YC-discovered; 2 jobs
Vorticity,vorticity,ashby,40,low,1,YC-discovered; 2 jobs
Accord,accord,ashby,40,low,1,YC-discovered; 2 jobs
Nimbus,nimbus,lever,40,low,1,YC-discovered; 2 jobs
PostEra,postera,lever,40,low,1,YC-discovered; 2 jobs
Angle Health,anglehealth,ashby,40,low,1,YC-discovered; 2 jobs
Momence,momence,greenhouse,40,low,1,YC-discovered; 2 jobs
PowerUs,powerus,ashby,40,low,1,YC-discovered; 2 jobs
Farel,farel,ashby,40,low,1,YC-discovered; 2 jobs
Hotplate,hotplate,ashby,40,low,1,YC-discovered; 2 jobs
Smartcuts,smartcuts,lever,40,low,1,YC-discovered; 2 jobs
Faction,faction,ashby,40,low,1,YC-discovered; 2 jobs
Noble,noble,greenhouse,40,low,1,YC-discovered; 2 jobs
Simplify,simplify,ashby,40,low,1,YC-discovered; 2 jobs
TAG,tag,lever,40,low,1,YC-discovered; 2 jobs
Jupe,jupe,lever,40,low,1,YC-discovered; 2 jobs
Toku,toku,lever,40,low,1,YC-discovered; 2 jobs
SkyLink,skylink,ashby,40,low,1,YC-discovered; 2 jobs
Boostly,boostly,ashby,40,low,1,YC-discovered; 2 jobs
Nango,nango,ashby,40,low,1,YC-discovered; 2 jobs
GovEagle,goveagle,ashby,40,low,1,YC-discovered; 2 jobs
Bluedot,bluedot,ashby,40,low,1,YC-discovered; 2 jobs
Airgoods,airgoods,ashby,40,low,1,YC-discovered; 2 jobs
Navier AI,navierai,greenhouse,40,low,1,YC-discovered; 2 jobs
Tekton Dynamics,tekton-dynamics,ashby,40,low,1,YC-discovered; 2 jobs
Pivot Robotics,pivotrobotics,ashby,40,low,1,YC-discovered; 2 jobs
OffDeal,offdeal,ashby,40,low,1,YC-discovered; 2 jobs
Opencall,opencall,ashby,40,low,1,YC-discovered; 2 jobs
Focal,focal,ashby,40,low,1,YC-discovered; 2 jobs
Polar,polar,ashby,40,low,1,YC-discovered; 2 jobs
Thunder Compute,thundercompute,ashby,40,low,1,YC-discovered; 2 jobs
Archil,archil,ashby,40,low,1,YC-discovered; 2 jobs
CTGT,ctgt,ashby,40,low,1,YC-discovered; 2 jobs
Capy,capy,ashby,40,low,1,YC-discovered; 2 jobs
Sunset,sunset,greenhouse,40,low,1,YC-discovered; 2 jobs
Revise Robotics,reviserobotics,ashby,40,low,1,YC-discovered; 2 jobs
Bild AI,bild-ai,ashby,40,low,1,YC-discovered; 2 jobs
Harper,harper,ashby,40,low,1,YC-discovered; 2 jobs
Mastra,mastra,ashby,40,low,1,YC-discovered; 2 jobs
Butter,butter,ashby,40,low,1,YC-discovered; 2 jobs
Dedalus Labs,dedalus-labs,ashby,40,low,1,YC-discovered; 2 jobs
Foresight,foresight,ashby,40,low,1,YC-discovered; 2 jobs
Opennote,opennote,ashby,40,low,1,YC-discovered; 2 jobs
KERNEL,kernel,ashby,40,low,1,YC-discovered; 2 jobs
Cascade,cascade,ashby,40,low,1,YC-discovered; 2 jobs
Beyond Reach Labs,beyondreachlabs,ashby,40,low,1,YC-discovered; 2 jobs
Sidekick,sidekick,ashby,40,low,1,YC-discovered; 2 jobs
Clerky,clerky,ashby,40,low,1,YC-discovered; 1 jobs
Poll Everywhere,polleverywhere,lever,40,low,1,YC-discovered; 1 jobs
A Thinking Ape,athinkingape,greenhouse,40,low,1,YC-discovered; 1 jobs
HealthSherpa,healthsherpa,ashby,40,low,1,YC-discovered; 1 jobs
SFOX,sfox,greenhouse,40,low,1,YC-discovered; 1 jobs
Tenjin,tenjin,ashby,40,low,1,YC-discovered; 1 jobs
Verge Genomics,verge-genomics,ashby,40,low,1,YC-discovered; 1 jobs
Tetra,tetra,greenhouse,40,low,1,YC-discovered; 1 jobs
Tesseract,tesseract,greenhouse,40,low,1,YC-discovered; 1 jobs
BioRender,biorender,lever,40,low,1,YC-discovered; 1 jobs
Snackpass,snackpass,greenhouse,40,low,1,YC-discovered; 1 jobs
Meru Health,meruhealth,greenhouse,40,low,1,YC-discovered; 1 jobs
Papa,papa,greenhouse,40,low,1,YC-discovered; 1 jobs
Fintual,fintual,lever,40,low,1,YC-discovered; 1 jobs
Culdesac,culdesac,lever,40,low,1,YC-discovered; 1 jobs
Beacons,beacons,ashby,40,low,1,YC-discovered; 1 jobs
Shiru,shiru,lever,40,low,1,YC-discovered; 1 jobs
Revel,revel,greenhouse,40,low,1,YC-discovered; 1 jobs
Ladder,ladder,ashby,40,low,1,YC-discovered; 1 jobs
Fig,fig,ashby,40,low,1,YC-discovered; 1 jobs
Kinter,kinter,lever,40,low,1,YC-discovered; 1 jobs
Upflow,upflow,ashby,40,low,1,YC-discovered; 1 jobs
SEND,send,greenhouse,40,low,1,YC-discovered; 1 jobs
Datafold,datafold,ashby,40,low,1,YC-discovered; 1 jobs
Stacker,stacker,ashby,40,low,1,YC-discovered; 1 jobs
MarcoPolo,marcopolo,lever,40,low,1,YC-discovered; 1 jobs
Great Question,greatquestion,ashby,40,low,1,YC-discovered; 1 jobs
Quicknode,quicknode,ashby,40,low,1,YC-discovered; 1 jobs
Infracost,infracost,ashby,40,low,1,YC-discovered; 1 jobs
Wabi,wabi,ashby,40,low,1,YC-discovered; 1 jobs
Pipekit,pipekit,ashby,40,low,1,YC-discovered; 1 jobs
Nexus,nexus,greenhouse,40,low,1,YC-discovered; 1 jobs
WarpBuild,warpbuild,ashby,40,low,1,YC-discovered; 1 jobs
Dots 💸,dots,greenhouse,40,low,1,YC-discovered; 1 jobs
Malga,malga,ashby,40,low,1,YC-discovered; 1 jobs
Agave,agave,ashby,40,low,1,YC-discovered; 1 jobs
Orca,orca,greenhouse,40,low,1,YC-discovered; 1 jobs
Phase Biolabs,phasebiolabs,ashby,40,low,1,YC-discovered; 1 jobs
Strong Compute,strongcompute,lever,40,low,1,YC-discovered; 1 jobs
Remi,remi,greenhouse,40,low,1,YC-discovered; 1 jobs
Craze,craze,ashby,40,low,1,YC-discovered; 1 jobs
Raven,raven,greenhouse,40,low,1,YC-discovered; 1 jobs
Depot,depot,ashby,40,low,1,YC-discovered; 1 jobs
Coperniq,coperniq,ashby,40,low,1,YC-discovered; 1 jobs
Keep,keep,ashby,40,low,1,YC-discovered; 1 jobs
Vellum,vellum,ashby,40,low,1,YC-discovered; 1 jobs
Metal,metal,ashby,40,low,1,YC-discovered; 1 jobs
Fortuna Health,fortuna-health,ashby,40,low,1,YC-discovered; 1 jobs
Newton,newton,greenhouse,40,low,1,YC-discovered; 1 jobs
Paradigm,paradigm,greenhouse,40,low,1,YC-discovered; 1 jobs
Arini,arini,ashby,40,low,1,YC-discovered; 1 jobs
Spur,spur,ashby,40,low,1,YC-discovered; 1 jobs
Spherecast,spherecast,ashby,40,low,1,YC-discovered; 1 jobs
Dataleap,dataleap,ashby,40,low,1,YC-discovered; 1 jobs
Pharos,pharos,ashby,40,low,1,YC-discovered; 1 jobs
Ryvn,ryvn,ashby,40,low,1,YC-discovered; 1 jobs
Flowtel,flowtel,ashby,40,low,1,YC-discovered; 1 jobs
Ambral,ambral,ashby,40,low,1,YC-discovered; 1 jobs
Golf,golf,greenhouse,40,low,1,YC-discovered; 1 jobs
Attune,attune,greenhouse,40,low,1,YC-discovered; 1 jobs
MangoDesk,mangodesk,ashby,40,low,1,YC-discovered; 1 jobs
CareSwift,careswift,ashby,40,low,1,YC-discovered; 1 jobs
BootLoop,bootloop,ashby,40,low,1,YC-discovered; 1 jobs
Fernstone,fernstone,ashby,40,low,1,YC-discovered; 1 jobs
Hyperspell,hyperspell,ashby,40,low,1,YC-discovered; 1 jobs
Hypercubic,hypercubic,ashby,40,low,1,YC-discovered; 1 jobs
Archer,archer,greenhouse,40,low,1,YC-discovered; 1 jobs
